team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Delhi Daredevils,Punjab Cricket Association Stadium,Humid,130
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Kolkata Knight Riders,Eden Gardens,Dry,131
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Field,Bat,Delhi Daredevils,Sardar Patel Stadium,Sunny,132
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,133
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Chennai Super Kings,Eden Gardens,Humid,134
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Mumbai Indians,Feroz Shah Kotla,Humid,135
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,136
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Field,Chennai Super Kings,Feroz Shah Kotla,Sunny,137
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Rajasthan Royals,Sardar Patel Stadium,Humid,138
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Brabourne Stadium,Dry,139
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Kings XI Punjab,MA Chidambaram Stadium,Sunny,140
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Field,Mumbai Indians,Brabourne Stadium,Dry,141
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,142
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Rajasthan Royals,Punjab Cricket Association Stadium,Humid,143
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Mumbai Indians,Brabourne Stadium,Dry,144
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Field,Kolkata Knight Riders,Punjab Cricket Association Stadium,Dry,145
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Delhi Daredevils,M Chinnaswamy Stadium,Dry,146
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Rajasthan Royals,Sardar Patel Stadium,Sunny,147
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,148
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Mumbai Indians,Brabourne Stadium,Dry,149
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,150
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,151
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Sunny,152
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,153
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Field,Kings XI Punjab,Eden Gardens,Humid,154
