bowler,id,econ,wickets,matches,count,balls_per_wicket,SR
P Krishna,55,1.559440559,14,18,429,30.64285714,47.78571429
AP Dole,56,1.555555556,5,3,72,14.4,22.4
DB Ravi Teja,57,1.555555556,1,2,18,18,28
Joginder Sharma,58,1.551851852,12,15,270,22.5,34.91666667
MP Stoinis,59,1.548648649,15,24,370,24.66666667,38.2
JR Hopes,60,1.543661972,14,20,355,25.35714286,39.14285714
Mohammad Asif,61,1.538860104,8,8,193,24.125,37.125
Mohammed Siraj,62,1.537391304,28,26,575,20.53571429,31.57142857
A Mithun,63,1.535714286,7,16,308,44,67.57142857
BE Hendricks,64,1.525974026,9,7,154,17.11111111,26.11111111
Y Venugopal Rao,65,1.524886878,6,20,221,36.83333333,56.16666667
Pankaj Singh,66,1.522727273,11,17,308,28,42.63636364
AJ Finch,67,1.522727273,1,5,44,44,67
Karanveer Singh,68,1.521327014,12,9,211,17.58333333,26.75
BB Sran,69,1.520628684,18,24,509,28.27777778,43
L Plunkett,70,1.519736842,4,7,152,38,57.75
Shoaib Malik,71,1.50877193,2,5,57,28.5,43
BCJ Cutting,72,1.506944444,10,17,288,28.8,43.4
CR Woakes,73,1.505128205,25,18,390,15.6,23.48
Shoaib Ahmed,74,1.504950495,5,7,101,20.2,30.4
R McLaren,75,1.504155125,12,18,361,30.08333333,45.25
DJ Hussey,76,1.501567398,8,26,319,39.875,59.875
D Short,77,1.5,1,2,18,18,27
HH Pandya,78,1.496098105,42,60,897,21.35714286,31.95238095
Anureet Singh,79,1.492822967,18,22,418,23.22222222,34.66666667
Mohammed Shami,80,1.49096099,40,49,1051,26.275,39.175
SB Joshi,81,1.490909091,1,4,55,55,82
RR Raje,82,1.48951049,6,10,143,23.83333333,35.5
S Dhawan,83,1.489361702,4,6,47,11.75,17.5
DR Smith,84,1.488117002,26,46,547,21.03846154,31.30769231
SN Thakur,85,1.485714286,36,35,735,20.41666667,30.33333333
A Ashish Reddy,86,1.485074627,18,20,268,14.88888889,22.11111111
VRV Singh,87,1.485013624,12,18,367,30.58333333,45.41666667
JDP Oram,88,1.483193277,9,14,238,26.44444444,39.22222222
AA Jhunjhunwala,89,1.482758621,1,10,87,87,129
M de Lange,90,1.48245614,5,5,114,22.8,33.8
AD Russell,91,1.481586402,55,61,1059,19.25454545,28.52727273
Swapnil Singh,92,1.475409836,1,5,61,61,90
J Behrendorff,93,1.473684211,5,5,114,22.8,33.6
CR Brathwaite,94,1.47148289,13,16,263,20.23076923,29.76923077
AS Rajpoot,95,1.467889908,22,23,436,19.81818182,29.09090909
C de Grandhomme,96,1.466960352,6,19,227,37.83333333,55.5
J Syed Mohammad,97,1.466321244,8,11,193,24.125,35.375
S Kuggeleijn,98,1.46,2,2,50,25,36.5
RJ Peterson,99,1.458333333,3,4,48,16,23.33333333
H Gurney,100,1.458333333,7,8,168,24,35
